,tweet,binaereKlassifikation,granulareKlassifikation
0,@JanZimmHHB @mopo Komisch das die Realitätsverweigerung immer von linken erbärmlichen Correctiv Accounts ausgeht...,OFFENSE,INSULT
1,"@faznet @Gruene_Europa @SPDEuropa @CDU CDU steht seid Strauss, Kohl, Schäuble, vdLeyen für Korruption, Schwarzgeld, und dies überall...",OFFENSE,ABUSE
2,"@DLFNachrichten Die Gesichter, Namen, Religion der Täter würde zur Aufklärung beitragen...",OTHER,OTHER
3,"@welt Wie verwirrt muss man sein um sich zu weigern die Tatsachen anzuerkennen, das dieser Hass von Ferkel importiert wurde....was bezweckt man damit sich selber so zu belügen, unverständlich",OFFENSE,ABUSE
4,"@hacker_1991 @torben_braga Weil die AfD den Ferkelfunk abschaffen will, deshalb haben die Linken Zecken, Schmarotzer Angst für ihr kacken arbeiten zu müssen, deshalb sind die Führer treu und senden jeden Dreck, Lüge...",OFFENSE,ABUSE
5,"@aktuelle_stunde Also beim Fall Birmingham, England war definitiv weniger Empörung, weniger Berichterstattung, wenn man ehrlich mit sich ist gab es gar keine im ÖRR, wenn doch ohne Hintergrundwissen, noch Recherche. WARUM?",OTHER,OTHER
6,"@StZ_NEWS Aber bei läppischen 130.000 Euro der AfD den Welt, Demokratieuntergang herbei schreiben....wie süß",OTHER,OTHER
7,@StZ_NEWS Schäuble wird wissen woher dieses Nazi Geld kommt....FJS hatte doch auch glasige Augen vor Freude wenn vom Führer die Rede war..,OFFENSE,ABUSE
8,"@welt Komisch, wäre dieser Betrug in der Nähe der AfD passiert wäre eine andere Empörung erkennbar, so aber da es Ferkel und Co trifft werden Baueropfer präsentiert...",OFFENSE,ABUSE
9,"@investigativ_de @welt @Tim_Roehn @ChSchweppe Und alle Wege führen zu von der Leyen, was dann verwundert das die immer noch im Amt ist, wobei, im Konstrukt BRD normal, da dieses Konstrukt nicht mehr vorgibt eine Demokratie zu sein...",OFFENSE,ABUSE
10,"@rbbabendschau Nun, Eigentum verpflichtet, das Maximale aus diesem heraus zu holen, und die Politik tanzt passend dazu, singt das Lied der Mieterverarschungsbremse, und glotzen wichtig in jede Ferkelfunk Kamera...",OFFENSE,ABUSE
11,"@ZDFheute Birmingham hatte eine ganz andere Klasse, da war aber weniger Empörung im Ferkelfunk, falsche Täter Klientel...wie auch Wiesbaden, Korruption bei CDU SPD, und lautes Schweigen im Ferkelfunk, seltsam...ach weil es nicht die AfD ist",OFFENSE,ABUSE
12,"@BR24 Wie viele werden durch Gas Unfälle getötet, und wie viele im Strassenverkehr? Aber Sensation bringt klicks...",OTHER,OTHER
13,"@handelsblatt @AnjaKarliczek @AndreaNahlesSPD Da war Nahles lange nicht in den Medien, was soll man sagen, schöner wurde die dadurch nicht...",OFFENSE,INSULT
14,"@focusonline Wie war noch der Stasi Auftrag von Ferkel, jeden der nicht die Ferkel Meinung vertritt lächerlich, mundtot machen, wie sich zeigt macht die Ferkel Presse genau das....",OFFENSE,ABUSE
15,"@ZDFhannover Und das ist das Baueropfer welches für Von der Leyen über die Klinge springen musste, damit man den Dreck auf eine Person abladen kann, und von der Leyen aus den Medien gehalten werden kann, es ist so billig und durchschaubar, klar das die Ferkelmedien es verbreiten",OFFENSE,ABUSE
16,"@hessenschau Komisch, wäre es die AfD gebe es schon Meldungen bei der Lügenschau, Tagesverarsche, Heuteglaubteskeiner, hier nur ein regionales Ereignis bei einem unwichtigen Sender der keine Reichweite noch Glaubwürdigkeit besitzt, schon erstaunlich wie Stasi Seilschaften funktionieren",OFFENSE,ABUSE
17,"@welt Wenn sie noch eine Nazi Keule brauchen, IM ERIKA hat noch eine im Schrank....",OFFENSE,ABUSE
18,"@RegSprecher @peteraltmaier Wie der widerliche Lügenr sich wohl rasiert, der kann sich doch niemals selber in die Augen schauen ohne sich selbst ankotzen zu müssen....Alleine 976 Milliarden Euro Target 2 Salden strafen diesen Heuchler Lügen...",OFFENSE,INSULT
19,"@NDRnds Wie schön das die Gefängnisse Rekordumsätze vermelden, das wird Ferkel besonders freuen wenn es sich um ihre Fachkräfte handelt, hier lebenslang, wo anders 10 Jahre, Jungfernstieg auch lebenslang, und alle anderen importierten Mörder, das summiert sich....aber 87% wollen das so",OFFENSE,ABUSE
20,"@de_sputnik @MarcelJoppa Wäre die BRD eine Demokratie vielleicht, so nicht...",OFFENSE,ABUSE
21,"@polizei_nrw_ge Genau der Piotoitsche Gelsenkirchener...wie gut das der Stempel noch frisch ist, dann kann man das toitsch sein sogar noch riechen...",OFFENSE,ABUSE
22,@ZDFheute Wer hat den die Heulsuse ausgebuddelt...,OFFENSE,INSULT
23,"@SWRAktuellBW Warum löst man nicht sofort diese Gerichte auf, wenn die nicht bereit sind Urteile zu fällen, nennt sich unnütze Fresser...",OFFENSE,INSULT
24,"@Tagesspiegel Da Berlin Schmarotzer und Nehmerland ist, haben es die Geberländer bezahlt, na die freuen sich...",OFFENSE,ABUSE
