tweet,binaereKlassifikation,granulareKlassifikation,Wörter in Tweet,Wörter pro Tweet,Tweets ohne Satzzeichen,Wortlänge,Durchschnittliche Wortlänge,Verlinkungen,Verlinkung pro Tweet,Hashtags,Hashtags pro Tweet,utf Codes,utf Codes pro Tweet,Emojis,Emojis pro Tweet
@JanZimmHHB @mopo Komisch das die Realitätsverweigerung immer von linken erbärmlichen Correctiv Accounts ausgeht...,OFFENSE,INSULT,"['komisch', 'das', 'die', 'realitätsverweigerung', 'immer', 'von', 'linken', 'erbärmlichen', 'correctiv', 'accounts', 'ausgeht...']",11,"['Komisch', 'das', 'die', 'Realitätsverweigerung', 'immer', 'von', 'linken', 'erbärmlichen', 'Correctiv', 'Accounts', 'ausgeht']","[7, 3, 3, 21, 5, 3, 6, 12, 9, 8, 7]",7.64,"['@JanZimmHHB', '@mopo']",2,[],0,[],0,[],0
"@faznet @Gruene_Europa @SPDEuropa @CDU CDU steht seid Strauss, Kohl, Schäuble, vdLeyen für Korruption, Schwarzgeld, und dies überall...",OFFENSE,ABUSE,"['cdu', 'steht', 'seid', 'strauss,', 'kohl,', 'schäuble,', 'vdleyen', 'für', 'korruption,', 'schwarzgeld,', 'und', 'dies', 'überall...']",13,"['CDU', 'steht', 'seid', 'Strauss', 'Kohl', 'Schäuble', 'vdLeyen', 'für', 'Korruption', 'Schwarzgeld', 'und', 'dies', 'überall']","[3, 5, 4, 7, 4, 8, 7, 3, 10, 11, 3, 4, 7]",5.85,"['@faznet', '@Gruene_Europa', '@SPDEuropa', '@CDU']",4,[],0,[],0,[],0
"@DLFNachrichten Die Gesichter, Namen, Religion der Täter würde zur Aufklärung beitragen...",OTHER,OTHER,"['die', 'gesichter,', 'namen,', 'religion', 'der', 'täter', 'würde', 'zur', 'aufklärung', 'beitragen...']",10,"['Die', 'Gesichter', 'Namen', 'Religion', 'der', 'Täter', 'würde', 'zur', 'Aufklärung', 'beitragen']","[3, 9, 5, 8, 3, 5, 5, 3, 10, 9]",6,['@DLFNachrichten'],1,[],0,[],0,[],0
"@welt Wie verwirrt muss man sein um sich zu weigern die Tatsachen anzuerkennen, das dieser Hass von Ferkel importiert wurde....was bezweckt man damit sich selber so zu belügen, unverständlich",OFFENSE,ABUSE,"['wie', 'verwirrt', 'muss', 'man', 'sein', 'um', 'sich', 'zu', 'weigern', 'die', 'tatsachen', 'anzuerkennen,', 'das', 'dieser', 'hass', 'von', 'ferkel', 'importiert', 'wurde....was', 'bezweckt', 'man', 'damit', 'sich', 'selber', 'so', 'zu', 'belügen,', 'unverständlich']",28,"['Wie', 'verwirrt', 'muss', 'man', 'sein', 'um', 'sich', 'zu', 'weigern', 'die', 'Tatsachen', 'anzuerkennen', 'das', 'dieser', 'Hass', 'von', 'Ferkel', 'importiert', 'wurdewas', 'bezweckt', 'man', 'damit', 'sich', 'selber', 'so', 'zu', 'belügen', 'unverständlich']","[3, 8, 4, 3, 4, 2, 4, 2, 7, 3, 9, 12, 3, 6, 4, 3, 6, 10, 8, 8, 3, 5, 4, 6, 2, 2, 7, 14]",5.43,['@welt'],1,[],0,[],0,[],0
"@hacker_1991 @torben_braga Weil die AfD den Ferkelfunk abschaffen will, deshalb haben die Linken Zecken, Schmarotzer Angst für ihr kacken arbeiten zu müssen, deshalb sind die Führer treu und senden jeden Dreck, Lüge...",OFFENSE,ABUSE,"['weil', 'die', 'afd', 'den', 'ferkelfunk', 'abschaffen', 'will,', 'deshalb', 'haben', 'die', 'linken', 'zecken,', 'schmarotzer', 'angst', 'für', 'ihr', 'kacken', 'arbeiten', 'zu', 'müssen,', 'deshalb', 'sind', 'die', 'führer', 'treu', 'und', 'senden', 'jeden', 'dreck,', 'lüge...']",30,"['Weil', 'die', 'AfD', 'den', 'Ferkelfunk', 'abschaffen', 'will', 'deshalb', 'haben', 'die', 'Linken', 'Zecken', 'Schmarotzer', 'Angst', 'für', 'ihr', 'kacken', 'arbeiten', 'zu', 'müssen', 'deshalb', 'sind', 'die', 'Führer', 'treu', 'und', 'senden', 'jeden', 'Dreck', 'Lüge']","[4, 3, 3, 3, 10, 10, 4, 7, 5, 3, 6, 6, 11, 5, 3, 3, 6, 8, 2, 6, 7, 4, 3, 6, 4, 3, 6, 5, 5, 4]",5.17,"['@hacker_1991', '@torben_braga']",2,[],0,[],0,[],0
"@aktuelle_stunde Also beim Fall Birmingham, England war definitiv weniger Empörung, weniger Berichterstattung, wenn man ehrlich mit sich ist gab es gar keine im ÖRR, wenn doch ohne Hintergrundwissen, noch Recherche. WARUM?",OTHER,OTHER,"['also', 'beim', 'fall', 'birmingham,', 'england', 'war', 'definitiv', 'weniger', 'empörung,', 'weniger', 'berichterstattung,', 'wenn', 'man', 'ehrlich', 'mit', 'sich', 'ist', 'gab', 'es', 'gar', 'keine', 'im', 'örr,', 'wenn', 'doch', 'ohne', 'hintergrundwissen,', 'noch', 'recherche.', 'warum?']",30,"['Also', 'beim', 'Fall', 'Birmingham', 'England', 'war', 'definitiv', 'weniger', 'Empörung', 'weniger', 'Berichterstattung', 'wenn', 'man', 'ehrlich', 'mit', 'sich', 'ist', 'gab', 'es', 'gar', 'keine', 'im', 'ÖRR', 'wenn', 'doch', 'ohne', 'Hintergrundwissen', 'noch', 'Recherche', 'WARUM']","[4, 4, 4, 10, 7, 3, 9, 7, 8, 7, 17, 4, 3, 7, 3, 4, 3, 3, 2, 3, 5, 2, 3, 4, 4, 4, 17, 4, 9, 5]",5.63,['@aktuelle_stunde'],1,[],0,[],0,[],0
"@StZ_NEWS Aber bei läppischen 130.000 Euro der AfD den Welt, Demokratieuntergang herbei schreiben....wie süß",OTHER,OTHER,"['aber', 'bei', 'läppischen', '130.000', 'euro', 'der', 'afd', 'den', 'welt,', 'demokratieuntergang', 'herbei', 'schreiben....wie', 'süß']",13,"['Aber', 'bei', 'läppischen', '130000', 'Euro', 'der', 'AfD', 'den', 'Welt', 'Demokratieuntergang', 'herbei', 'schreibenwie', 'süß']","[4, 3, 10, 6, 4, 3, 3, 3, 4, 19, 6, 12, 3]",6.15,['@StZ_NEWS'],1,[],0,[],0,[],0
@StZ_NEWS Schäuble wird wissen woher dieses Nazi Geld kommt....FJS hatte doch auch glasige Augen vor Freude wenn vom Führer die Rede war..,OFFENSE,ABUSE,"['schäuble', 'wird', 'wissen', 'woher', 'dieses', 'nazi', 'geld', 'kommt....fjs', 'hatte', 'doch', 'auch', 'glasige', 'augen', 'vor', 'freude', 'wenn', 'vom', 'führer', 'die', 'rede', 'war..']",21,"['Schäuble', 'wird', 'wissen', 'woher', 'dieses', 'Nazi', 'Geld', 'kommtFJS', 'hatte', 'doch', 'auch', 'glasige', 'Augen', 'vor', 'Freude', 'wenn', 'vom', 'Führer', 'die', 'Rede', 'war']","[8, 4, 6, 5, 6, 4, 4, 8, 5, 4, 4, 7, 5, 3, 6, 4, 3, 6, 3, 4, 3]",4.86,['@StZ_NEWS'],1,[],0,[],0,[],0
"@welt Komisch, wäre dieser Betrug in der Nähe der AfD passiert wäre eine andere Empörung erkennbar, so aber da es Ferkel und Co trifft werden Baueropfer präsentiert...",OFFENSE,ABUSE,"['komisch,', 'wäre', 'dieser', 'betrug', 'in', 'der', 'nähe', 'der', 'afd', 'passiert', 'wäre', 'eine', 'andere', 'empörung', 'erkennbar,', 'so', 'aber', 'da', 'es', 'ferkel', 'und', 'co', 'trifft', 'werden', 'baueropfer', 'präsentiert...']",26,"['Komisch', 'wäre', 'dieser', 'Betrug', 'in', 'der', 'Nähe', 'der', 'AfD', 'passiert', 'wäre', 'eine', 'andere', 'Empörung', 'erkennbar', 'so', 'aber', 'da', 'es', 'Ferkel', 'und', 'Co', 'trifft', 'werden', 'Baueropfer', 'präsentiert']","[7, 4, 6, 6, 2, 3, 4, 3, 3, 8, 4, 4, 6, 8, 9, 2, 4, 2, 2, 6, 3, 2, 6, 6, 10, 11]",5.04,['@welt'],1,[],0,[],0,[],0
"@investigativ_de @welt @Tim_Roehn @ChSchweppe Und alle Wege führen zu von der Leyen, was dann verwundert das die immer noch im Amt ist, wobei, im Konstrukt BRD normal, da dieses Konstrukt nicht mehr vorgibt eine Demokratie zu sein...",OFFENSE,ABUSE,"['und', 'alle', 'wege', 'führen', 'zu', 'von', 'der', 'leyen,', 'was', 'dann', 'verwundert', 'das', 'die', 'immer', 'noch', 'im', 'amt', 'ist,', 'wobei,', 'im', 'konstrukt', 'brd', 'normal,', 'da', 'dieses', 'konstrukt', 'nicht', 'mehr', 'vorgibt', 'eine', 'demokratie', 'zu', 'sein...']",33,"['Und', 'alle', 'Wege', 'führen', 'zu', 'von', 'der', 'Leyen', 'was', 'dann', 'verwundert', 'das', 'die', 'immer', 'noch', 'im', 'Amt', 'ist', 'wobei', 'im', 'Konstrukt', 'BRD', 'normal', 'da', 'dieses', 'Konstrukt', 'nicht', 'mehr', 'vorgibt', 'eine', 'Demokratie', 'zu', 'sein']","[3, 4, 4, 6, 2, 3, 3, 5, 3, 4, 10, 3, 3, 5, 4, 2, 3, 3, 5, 2, 9, 3, 6, 2, 6, 9, 5, 4, 7, 4, 10, 2, 4]",4.48,"['@investigativ_de', '@welt', '@Tim_Roehn', '@ChSchweppe']",4,[],0,[],0,[],0
